Review,Sentiment
Awesome,Positive
Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…,Positive
The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart,Positive
"Wow superb camera phoneVery smooth speed and no lag , iphone is the king alwaysIts a beautiful product",Positive
Go for it,Neutral
Amazing phoneIn love with this phone,Positive
Awesome Camera,Positive
Camera quality is just fabulous. Interface is very smooth.  Good for photography and videography.,Positive
Best iPhone till date,Positive
Super,Positive
This is the value for money phone.For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate,Positive
Performance is soooo fastEspecially faceid detection is awesome even in darkNo need to carry an dslr .this is more than enough attaching puc taken by this,Positive
Classic,Neutral
Excellent,Positive
Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.,Positive
I am very happy with I phone 12Very Nice Product Thanku Flipkart,Positive
Nice camera,Positive
This z my frst iphone n … outstanding phone …must buy.,Positive
"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 , faster then anything this else.Excellent Picture quality.Just loved it.!!",Positive
"Everything is great except the battery life, camera is awesome",Positive
"display is good , processor is awesome",Positive
Awesome camera performance and improvement in battery capacity,Positive
"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.",Positive
"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed..",Positive
Awesome camera quality…just love it,Positive
Just go for itI purchased 128 gb purple colourThe phone is beast,Neutral
Don't think too much.. Just go for it.. If you are a clicker then you are gonna love it.. Display sound features are as usually excellent..,Positive
Nice phone,Positive
Nice phone with good build qualityExcellent Camera,Positive
Best ever Mobile. Worth every penny. Overall a good purchase. Processor is superfast. Loved it,Positive
Love it.,Positive
Nice,Positive
Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment,Positive
Excellent.. Product,Positive
"Almost 1month of purshase and i am loving it .Great for photography and videography and trust me the stability of video is awesome .High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding .worth buying .also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 .",Positive
Good,Positive
Best performance iPhone!! Loving it,Positive
Awesome look,Positive
Great camera,Positive
Excellent camera and awesome performance,Positive
I always prefer iPhone because of their camera quality n camera quality of iPhone 12 is top notch.,Positive
"Thanx flipkart for value super sale for short time period of 1hour, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing",Positive
"This is my first apple product and I am loving it , purchased in BBD sale and it's worth every penny .",Positive
"Night picture quality awesome, portrait is real portrait",Positive
Best in class!!!,Positive
Very nice Camera,Positive
Wow,Positive
Just love it …..,Positive
Love to have that mobile. Once again back on apple product after iphone 5s. Very smooth.,Positive
Camera extraordinary and I loved it,Positive
"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus .Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great",Positive
The design is superb I just love it. Awesome feeling while in hand,Positive
Mind blowing performance  Just awesome.,Positive
Quality Product,Neutral
It is a very good product with amazing features.Looks great!,Positive
"My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool.",Positive
"Perfect phone , Apple after allGo for it eyes closed if in the budget.Camera best quality, crystal clear photos and super stable videos at 4k 30/60 fps,best slow motion in the phone ever.Performance : best then any android (even 1+ 9 pro )Battery life  last for a day use anyhow.Super smooth software experience.Topnotch security level Very lightweight to hold.",Positive
Very good,Positive
Its My First iPhone bought from 1st Job.Very HappyThis product is a beast in pocket.,Neutral
Very good phone,Positive
Amazing looks.,Positive
Just too good,Positive
"Delightful phone, the phone is just a peice of art, sleek, eye catchy, super fast and got everything u need...best one available",Positive
Best in every department. I upgraded on iPhone from Samsung S20plus and after use almost 10 days I realise that it’s my good decision.,Positive
just love it,Positive
Premium product,Neutral
"It’s my first iPhone ever and I bought it with my earned money through part time jobs in collegeI am a tech freak so you can trust my views -- A14 Bionic is the fastest, most efficient and reliable processor till date- The camera focuses so quickly that you can take DSLR quality photos.- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina XDR display is so crisp and everything feels real.- The stereo speakers are so clear even on high volume an...READ MORE",Positive
Very good Smartphone . Best performance and battery beck up is still impressive with low MAH. Sharp camera. Camera is wow. Without camera setting and knowledge you don’t take batter Photo. I Uploaded camera picture in day and night time at same location.,Positive
This was an awesome buy. I bought this phone for my father who was upgrading from an iPhone 6. He is very happy with this phone. The size is really good. He said that it was even more comfortable to hold than the 6 as it had flat sides. It is Smaller than most android phones but big enough for anything and everything.The performance is Stellar. You won't notice any lag and it's very fast. Ram management is good too. And the phone stays at a reasonable temperature even when using Gmaps.Th...READ MORE,Positive
Very cool colour I loved it.,Positive
"It is my first iphone bought in bbd sale. Acc to me it is most value for money compare to others phone, everything is good display,sound,performance,everything except battery which is average acc to me. I charged my iphone 12 with 20W charger when my battery comes down to 40% and remove it from charging when it reaches to 80%. It takes about 30 min to charge it. My battery heath is still 100% acc to me which is goodHere are some samples taken by me in iphone12",Positive
Camera is goodBattery is goodPerformance is also good,Positive
This was my second iphone after the xr and i can say there’s a lot of difference in day to day tasks.First of all here are some pros• Amazing camera with very good nightmode.• Performance is top notch.• No heating issue like other phones while performing daily   tasks.• The design is very handy and gives a premium feel in hand.Now the cons• Battery is sufficient but could be better but it’s ok for a medium user.• only one con bro that’s iphone there’s no complaint .,Positive
Best smartphone under 60k,Positive
"This is my 1st Apple product and I must say it's a beast of a device It handle everything in a very smooth ways, it's buttery smooth I'm just loving this device and I must say iphones have something unique in them which everyone must try outI will write my detailed review after using it for 2 months.",Positive
Great looks and awesome in-hand feel,Positive
"After 7 days useCamera : ExcellentSpeakers : UnbeatableDisplay : OLED (Unbeatable)Comfort : Good (less weight)I am MI user from last 4 years , shifted from redmi note 5 pro to this Cute BEAST...Bought it for 51K , blue color 64GB variant(As 128GB was unavailable and i dont need much storage as I am regular backup guy) ...Happy Diwali in Advance....Night Mode is too good , A14 Processor (OMG ,speeed of light)",Positive
What a product. Though I am switching from iPhone 11 but still 12 is better many aspects specially in terms of Display which is a major update and camera as well.,Positive
"1. First and foremost - The early delivery of Flipkart - The products arrived two days early as expected.2. First-time IOS user - IOS is superfast3. Built Quality - Excellent4. Display - LED - Excellent5. Photos - Wide-angle - Excellent,  Portrait - Excellent, Panorama - Excellent6. Video - Slowmotion 1080 to 240fps - Excellent, Video 4k @ 64 fps7. In-hand feel - Excellent8. As a status symbol - APPLE no wordsI have purchased in an offer so got it at a reasonable rate. Overall thank...READ MORE",Positive
I think it’s price high according to its features bt display quality is too much awsm,Neutral
"Nothing to say about this device. Absolutely flawless. Premium in-hand feel. Nothing to say about the camera. Surround sound works absolutely fine. A14 Bionic is just flawless. Smooth multi tasking. This is my first big upgrade to any flagship device and the usage is mesmerizing. Im literally impressed. Used 5s and 6s years ago, but nothing comes infront of this! Can blindly go for this device. Kudos to Flipkart and their next day delivery policy. Open box policy is also impressive. Go for it.",Positive
"The phone is amazing, i switched to iphone after 3 years from one plus 6. I am certainly feeling why iphones people buy.",Positive
Best phone,Positive
Overall good phone with super performance,Positive
"Stunning look, very premium, awesome camera, I have a moderate use so I get 2 days battery life in single charge, overall very happy with the purchase and last but not the least Fast delivery by Flipkart.",Positive
"It's my first iphone ever n i brought it with all my earned moneyThe best is yet to come n i am really happy with the product was delivered on time by flipkartOverall it's  light weighted, awesome camera quality n i love the purple color  so it's a dream come to true finally have a iphone",Positive
"iPhone 6S Plus 64GB -> iPhone 12 128GBMy 2nd iPhone, upgraded after 5 years.Gorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. Even though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially Opening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took...READ MORE",Positive
My First Iphone..;Buttery smooth ..Camera superb no doubt 4.9/5..Above Average battery backup 4/5Display and performance excellent…I just experienced ios ui..Just say Wow,Positive
Excellent product worth every penny right this review after using 7 days earlier was using phone iPhone 6s now on iPhone 12 faster than anything this else… excellent picture quality just love it iPhone12,Positive
"OMG….Value for money. Though I had used IPhone earlier iPhone SE/iPhone 7 but this device and his processor 14B processing pictures like amazing.I’ve started exploring and capturing candid and uploading too on social websites.Before this I used to little hesitated but now have confidence.What I’ve got apart from device in box is happiness, satisfaction, confidence, change view to look beauty around…Charging cable and SIM tray ejection pin too.Happy Customer!",Positive
Very good & thank you so much Flipkart,Positive
Awesome Love it,Positive
"Switched from Android to iPhone and this transition was really smooth due to its easier GUI. I bought this 128 Gb variant and Didn’t waited for iPhone 13 as iPhone 12 has all ,what one need in a perfect phone. In person white colour seems much sexier than purple and black. Attached pics for the reference.1.OLED Screen is good but by default its much of a warmer tone.You can disable the True tone option.Dark mode is lit 2.Battery  lasts a day with Wifi ,location and Mobile Data on. Go...READ MORE",Positive
Osm camera and super performance,Positive
"I bought this iphone 12 in big billion days and saved alot thank you so much Flipkart for this amazing deal. The phone is great and has perfect camera, security and performance is ver good of this  phone. No lack at all.Battery backup is good you can spend a single day without charging it.Size is perfect as iPhone 11 has same screen size but diffcult to carry but this device is light and perfect in size.I give 4 star because they don’t other accessories now with iPhone.",Positive
Unbelievable experience switching from Android ease to use excellent photography & user interface,Positive
Overall Good PerformanceCamera is osmBattery also Good,Positive
"The best is yet to come, I am really happy with the product was delivered on time by Flipkart, over all liked the colours it’s a dream come to true to finally have an iPhone. Thank you Flipkart",Positive
Night mode is simply amazing and give you a clear and crisp image even when you are in dark.,Positive
Upgrade my I phone 11 to I phone12  .2-Most powerful device2-Camera 3-Display top quality4-over all best device,Positive
"The Product is fantastic with great nay awesome camera.Battery management is good but still could be better.Display is very beautiful and treat to watch videos.Design is good, gives vintage iphone kind of look.",Positive
"Best device made by Apple so far, I was worried about battery life but damm Apple battery optimisation is top notch.",Positive
It’s my first I phone .amazing product .thanks Flipkart for within 2 days delivery.Camera is awesomePerformance mind blowingDisplay rampantBattery nice,Positive
"Best iphone purchased , smooth and fasst and the camera is best",Positive
"Excellent phone, positives are clean OS excellent camera and beautiful display overall satisfied and happy to move from android to IOS",Positive
"Beautiful and clear image , best camera phone",Positive
Excellent camera and built quality. Decent battery backup,Positive
Camera is awsm nd functioning is smoothhappy with my new phone,Neutral
Very nice product,Positive
I love it best camera phone,Positive
Love it n the best part is the camera and performanceBattery is also ok,Positive
"Giving reviews after 6 months of usage :Fantastic purchase, loved the battery backup, as well as performance, never lags, never hangs , never crashed",Positive
"I would use the Old Commercial tagline of Apple to describe it in one line, “If You Don’t have an iPhone, Well You Don’t have an iPhone”.          P.S - I have uploaded Outdoor, Indoor, Day light and Night Pictures to show the Magnificent Camera Quality.",Positive
"Picture quality is awesome,  but can judge this after a long time usage",Positive
"Best phone ever, replaced my iPhone 8 with 12  amazing graphics",Positive
One of the best,Positive
One of the best phone in the world.. image and video is just best…,Positive
Great experience and great support from Flipkart delivery team,Positive
Nice one,Positive
Fantastic & unbearable,Positive
Green colour is charming and pricelessNo weight this iPhoneTotally mind blowingBattery backup is not best of best but overall hall day backup normally usageAfter update new version battery backup superb hall day easily use itCamera quality awesome night mode superbDisplay and 4K video look like live sceneContinue live internet use 7 or 8 hour battery backup,Positive
Amazing phone!! Worth it!,Positive
"All good, I captured some pics by ultra wide camera, its clarity is amazing after zoomed pic",Positive
Loving it,Positive
Wonderful camera,Positive
Greatest forever,Positive
Awesome. Extremely happy with the purchase. Kudos Flipkart for the seamless delivery. iPhone 12 is immaculate!!!,Positive
One of the best smartphone ever.,Positive
Best phone love uu apple what a camera,Positive
Feels Nice and Premium.,Positive
Best Phone I have ever seen. All-rounder performance in all the departments. All the cameras are awesome. Night mood is just . Here I am attaching some pictures.,Positive
Firstly I would like to thanks Flipkart for one day delivery with secure & safe. Its realy awesome phone. I loved it. This is my first IPhone which I have swep from android to ios.  White colour provide premium look. Tea Cup Pic is from IPhone 12,Positive
Excellent phone.. My 1st iPhone.. Loving it,Positive
Awesome product…Camera: it’s superb.Battery : quite good and runs for whole day if moderately use.Display and design : perfect. iPhone 12 is looking so premium and best till date.Performance: perfect and very smooth and premium.Colour: i prefer Green because it looks more light green and different than others and ofcourse it gives premium look… 2nd option can be white.Flipkart order : firstly I hesitated to buy from flipkart as it is of bug amount but I ordered and got my phone one day ...READ MORE,Positive
Nice looking....best colour for boys.,Positive
"Writing this review after using for 3 months. I was android user till date & thought to try out iPhone, but now I am loving it completely & think that will never go back for android. Android is not bad product, but this one is another level of smartness, awesome performance, camera quality will amaze you. Once in life should try iPhone once, this iPhone 12 is 5g & hope it will launched soon in India",Positive
Amazing phone excellent performanceMust buy I love it,Positive
I used 7 days one word used --like awesome...,Positive
Awesome camera experienceBest in segment performanceBattery average“Kollam pwolli sadanam”,Positive
"Perfect phone in every aspect, look and feels premium !!",Positive
"Blazing Fast experience with Great Camera quality, light weight and super handy with superb Call quality. Iphone 12 is a Must buy!",Positive
Awesome product,Positive
"Absolutely beautiful camera, I’m loving it",Positive
"Switched from Android to iOS and won’t regret a bit. This one of the best devices have used in a while.Pros:1. Performance is super snappy, no lags whatsoever.2. Battery performance is pretty good too. M not a heavy user so currently charging it once every two days.3. Haven’t used camera much but pretty sure it’s splendid too.4. Size is spot on, neither too big nor too small. Very easy to use in one hand.5. Display is good too. One note though, for those feeling display is too w...READ MORE",Positive
"This is a really great device i had my doubts to go for 12 or 13… and i went with 12 and i dont have any regrets. The camera is amazing whether it is daytime or nighttime the camera defeats any camera in this price range, Processor has always been good in iPhones, although the battery life might be a con for some people who are like me i use the phone way too much so i have charge the phone once in evening and once when i am about to sleep.. it gives around 6-7hrs of battery life if used hars...READ MORE",Positive
Product is very fantastic i am just love it.Display is awesome.Performance like buttery smooth. Iam android user before 6year but never experience like this performance.You can definitely go for this. Due to late delivery i give only three star.,Positive
Does anyone see reviews before buying iPhone?,Neutral
The best anyone can get… Was a heavy mobile Android user but loved the new experience and performance.,Positive
Camera and build quality is excellent.,Positive
Just wow,Positive
Great product,Positive
Awesome performance.,Positive
"Truly valuable for money smartphone…, Just go for this beauty and beast",Positive
Blue colour Looks great. OSM performance and camera,Positive
AWESOME PHONE ONE OF THE BEST FLAGSHIP PHONE EVER....,Positive
"Best ever delivery by flipkart, got this phone in less than 24hrs, really impressed by the delivery, this is my first ever ios device, and i'm really impressed by its features, camera quality, awesome stereo speaker, oled display is awesome but have some warmth feeling making display little bit yellow, battery backup is awesome.",Positive
"Bought First Apple product, Awesome design and look.Happy with the performance but little disappointed with no charger and headphone at this price that's why 4 star given.Anyways enjoying the one of the finest iPhone available in Market..Thanks to flipkart for fast delivery.",Positive
Excellent quality camera. Feels premium. Superior performance. Flipkart service as always best.,Positive
Awesome battery as expected and the product is way better than it's other phone. Unique face ID works in no light makes it more efficient. Overall a good geniune product and highly recommend.,Positive
"Moved from iphone 6s to iphone 12. Had a Great experience. Everything working well. Trusted on flipkart & ordered and yes i got the perfect phone for me. Still i got to know that people didnt trust online shopping for this much amount product but feel free & buy it. Value for money. Best display, great camera, unique design, perfect grip.",Positive
Wooowww it's really superbExcellent cameraDisplayBatteryTotally I phone Rock....,Neutral
Such a great phone with great features…excellent camera and display….decent battery life .. value for money phone …beast like processor You can go for this without any hesitation … if u want to use a phone for long term simply go for this (128 gb) …,Positive
Relatable,Neutral
Best. go for itAmazing product,Positive
Superb phone,Positive
TerrificPurchased on 2nd OctoberMy first iPhone  While using this phone there is an unknown satisfaction Applenever disappoints their customers Just loving  it….,Positive
"An absolute charm to have this phone in your hands. Flipkart delivered in the next day in the BBD sale. Camera, display, looks, performance, smooth interface is all that makes iphones standout from rest. And iphone 12 delivers all that you require. Though iPhone's battery has always been the downside. Apple if you are listening we need much more larger battery capacity and you wont have to face any competition.And thankfull we didn't get Nirma soap in our box",Positive
"I got my I phone 12 in just 2 days of order, Thanks flipkart for delivering it faster.Pros:Super faster than previous versionDisplay is amazingSpeaker is absolutely perfect.It gives very classic premium looks.Cons:Charger & earphones are not coming in the box for the you need to spend 4k extra.Cost is very high.Battery backup is not good, it gives only 8hrs like previous versions.",Positive
Best phone ever in 2021My first iphone.. Great and awesome experience- Awesome Camera- Awesome security features- Great processing capabilitiesAnd many more...,Positive
As always for every release Wonderful product from Apple.,Positive
My first iPhone I love it,Positive
"Using iPhone since 5S onwards, it's never been a single thought to switch any other mobiles other than Apple. And iPhone 12 is an another wonderful device from Apple, finally upgraded from iPhone 7 --> iPhone 12 256GB. So happy with the product and comfort.Still my old iPhone 7 is working like new, that is what I love about apple products. Highly recommend.Thanks for quick delivery.",Positive
"I bought an Iphone 12(64 gb) during the Flipkart sale and got a lovely discount on the product. I also exchanged my Iphone 7 with flipkart and got a very satisfying return rate, which landed me for further discount on the phone. The delivery and return experience was extremely fast and smooth. The package came in fully sealed and secured with an otp, to avoid any scam/manipulation on Flipkart’s part, which was very reassuring. I am grateful for making my purchase of experience so smooth, than...READ MORE",Positive
